FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,MW,Year,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,TGD,Prob_D,Elo_Before_Home,Elo_Before_Away,Days_D,form_diff,SP_diff,Overall_diff,Attack_diff,Midfield_diff,Defence_diff
H,23.0,8.0,10.0,5.0,7.0,10.0,8.0,0.0,1.0,3.0,0.0,0.0,1.46,4.288333333333334,7.478333333333334,1.5,4.77,8.07,7,2013,1.73,2.34,1.65,2.21,7,0.23656617918391817,1023.681312404199,971.8175989027549,1.0,0.702,0.39999999999999997,5,8,6,8
H,13.0,13.0,8.0,6.0,16.0,12.0,2.0,5.0,2.0,2.0,0.0,0.0,1.8633333333333333,3.56,4.263333333333333,1.91,3.81,4.55,7,2013,1.89,2.06,1.83,1.98,12,0.22641776700237176,1020.2082527202657,941.0299550240958,1.0,1.662,0.4,-1,-3,1,-3
A,7.0,20.0,3.0,14.0,12.0,7.0,4.0,16.0,3.0,2.0,0.0,0.0,3.9633333333333334,3.5383333333333336,1.9533333333333331,4.0,3.7,2.01,7,2013,1.85,2.1,1.78,2.03,-4,0.2528815935799697,1020.4477635360171,1030.0374642234308,-2.0,0.39600000000000013,0.0,-6,-5,-5,-8
D,10.0,16.0,6.0,11.0,14.0,14.0,7.0,6.0,2.0,5.0,0.0,0.0,3.9599999999999995,3.3716666666666666,1.9966666666666668,4.21,3.63,2.05,7,2013,2.1,1.96,1.96,1.85,-12,0.25867340261546834,958.6846820711562,1042.1179537346802,0.0,-1.63,-0.39999999999999997,-2,0,-4,-5
H,17.0,9.0,8.0,4.0,7.0,11.0,6.0,4.0,1.0,2.0,0.0,0.0,1.8233333333333335,3.59,4.415,1.86,3.84,4.5,8,2013,1.93,2.06,1.82,1.98,10,0.23065777084398498,1017.0566061267058,959.0402505763896,0.0,0.614,0.13333333333333336,2,4,3,4
H,23.0,8.0,13.0,5.0,13.0,6.0,6.0,5.0,1.0,1.0,0.0,0.0,1.3483333333333334,4.9799999999999995,9.346666666666666,1.4,5.48,10.18,8,2013,1.7,2.39,1.62,2.28,5,0.24018241989943095,979.5248115143322,946.353752465401,-1.0,0.396,0.19999999999999998,8,4,11,8
H,13.0,8.0,8.0,6.0,9.0,10.0,3.0,3.0,1.0,1.0,0.0,0.0,1.3016666666666665,5.273333333333333,10.975,1.33,5.79,12.1,8,2013,1.69,2.4,1.62,2.28,7,0.23656617918391817,1050.2517670253471,1006.8645939971091,0.0,1.05,0.4,7,12,7,7
H,7.0,13.0,3.0,7.0,9.0,9.0,2.0,10.0,4.0,0.0,0.0,0.0,5.983333333333333,4.133333333333334,1.5583333333333336,6.5,4.5,1.6,8,2013,1.62,2.52,1.56,2.35,-20,0.25873739364162945,928.0158614017982,1044.623548670349,0.0,-1.5,-0.5333333333333333,-7,-8,-6,-7
D,14.0,10.0,6.0,4.0,12.0,18.0,5.0,4.0,2.0,1.0,0.0,1.0,3.3616666666666664,3.395,2.1966666666666668,3.6,3.57,2.3,8,2013,1.99,2.0,1.88,1.92,-16,0.2594470348798358,933.2702398602502,1040.9398126041478,0.0,-1.902,-0.4666666666666667,-1,3,-3,-3
D,16.0,10.0,6.0,7.0,14.0,15.0,8.0,4.0,0.0,4.0,0.0,1.0,2.521666666666667,3.2616666666666667,2.9116666666666666,2.62,3.37,3.0,8,2013,2.22,1.8,2.08,1.75,4,0.24188849191599487,1008.3205059337536,985.2174024403433,1.0,0.381,0.0,-2,-6,-4,-3
H,18.0,10.0,11.0,7.0,13.0,11.0,9.0,2.0,2.0,3.0,0.0,0.0,2.06,3.426666666666667,3.7099999999999995,2.15,3.56,3.9,8,2013,1.96,2.02,1.9,1.9,7,0.23656617918391817,992.6744143583109,959.8628232016885,0.0,1.18,0.0,0,0,1,1
A,23.0,11.0,16.0,7.0,7.0,8.0,7.0,4.0,3.0,2.0,0.0,0.0,2.5966666666666667,3.31,2.768333333333333,2.7,3.46,2.91,8,2013,1.86,2.14,1.78,2.04,-6,0.25484097628647767,1036.4586607305644,1073.3874928939183,-1.0,-0.9970000000000001,0.0,-1,0,-2,-2
A,16.0,21.0,8.0,13.0,11.0,15.0,6.0,9.0,4.0,3.0,0.0,1.0,5.033333333333333,3.6666666666666665,1.72,5.45,4.05,1.75,8,2013,1.81,2.19,1.74,2.09,-3,0.25177902346421743,1027.9679678841112,1052.6629082378126,0.0,-0.6439999999999999,-0.06666666666666665,-8,-11,-9,-9
H,9.0,11.0,8.0,4.0,10.0,12.0,6.0,3.0,0.0,2.0,0.0,0.0,1.8549999999999998,3.6016666666666666,4.276666666666667,1.91,3.81,4.66,8,2013,1.77,2.3,1.71,2.13,8,0.23465944949055553,1005.861679089099,951.6449009885681,1.0,1.791,0.26666666666666666,1,2,0,1
H,21.0,4.0,11.0,3.0,14.0,9.0,5.0,2.0,1.0,2.0,0.0,1.0,1.3650000000000002,4.871666666666667,8.558333333333334,1.4,5.18,9.0,9,2013,1.56,2.75,1.5,2.53,17,0.21488187438800674,1031.3878985197828,934.7719610993307,1.0,2.331,0.33333333333333337,5,3,6,6
D,7.0,14.0,5.0,6.0,12.0,7.0,3.0,8.0,2.0,0.0,1.0,0.0,1.9616666666666667,3.4266666666666663,3.991666666666667,2.01,3.51,4.2,9,2013,1.9,2.1,1.8,2.01,4,0.24188849191599487,950.694746143702,941.2515115523645,0.0,-0.0020000000000000018,0.0,2,2,-1,-2
A,14.0,15.0,11.0,7.0,13.0,11.0,8.0,6.0,2.0,2.0,2.0,0.0,2.388333333333333,3.3816666666666664,2.9583333333333335,2.45,3.49,3.1,9,2013,1.73,2.3,1.69,2.15,3,0.24352432716659092,1086.7991240828776,1063.3882689676625,0.0,0.8200000000000001,0.06666666666666665,-1,-4,-1,-1
